question_id,system_type,response,retrieved_chunk_ids,response_time_seconds
Q004,S1,"Here's what I found in UMT resources:

It is normal to feel stressed during academic life but persistent stress can affect your physical and mental health. Signs of unhealthy stress include difficulty concentrating, sleep problems, irritability, physical tension, or withdrawing from activities. If you notice these signs lasting more than a few weeks seek support early. The Happiness Center and campus healthcare are designed to help you address stress before it becomes overwhelming. Reaching out for help is a sign of strength not weakness.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C007;G23_C012;G23_C022,0.0019
Q004,S2,"Here's what I found from UMT resources:

- It is normal to feel stressed during academic life but persistent stress can affect your physical and mental health. Signs of unhealthy stress include difficulty concentrating, sleep problems, irritability, physical tension, or withdrawing from activities. If you notice these signs lasting more than a few weeks seek support early. The Happiness Center and campus healthcare are designed to help you address stress before it becomes overwhelming. Reaching out for help is a sign of strength not weakness.

- The on-campus healthcare clinic offers preventive health services including health screenings and wellness assessments. Regular check-ups can help identify health issues early and maintain overall wellbeing. The healthcare staff can provide guidance on nutrition exercise sleep and stress management. They can also provide information on managing minor health concerns and preventing common student health issues like cold and flu. Preventive care helps you stay healthy and catch problems before they become serious.

- UMT Sialkot Iqbal Campus is located at 2-KM Daska Road Sialkot. Contact by phone at +92 52 3575234 through 3575236 for inquiries. Email: info@skt.umt.edu.pk. This campus is one of two UMT Sialkot campus locations. For support services counseling health center and administrative help students should reach out by phone or email. If you are unsure which campus your office is at email info@skt.umt.edu.pk to be directed to the right department.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C007;G23_C012;G23_C022,0.0024
Q005,S0,"The **Learning Resource Center** is open **8am–9pm** weekdays and **10am–5pm** Sundays. Visit for research support, book borrowing (4 books / 14 days), and databases.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
Q005,S1,"Here's what I found in UMT resources:

usually based on the number of contact hours per week during a semester. Each three-credit hour course will consist of 45 contact hours in a semester, calculated as 3 hours per week for 15 teaching weeks (3 hours/week * 15 weeks = 45 hours). P art i ci pant s ’ H andbook Page 1

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C035;G23_C002;G23_C016,0.0020
Q005,S2,"Here's what I found from UMT resources:

- usually based on the number of contact hours per week during a semester. Each three-credit hour course will consist of 45 contact hours in a semester, calculated as 3 hours per week for 15 teaching weeks (3 hours/week * 15 weeks = 45 hours). P art i ci pant s ’ H andbook Page 1

- UMT's Learning Resource Center is a fully automated library open seven days a week from 8am to 9pm (10am to 5pm on Sundays). The library offers regular orientation sessions to help students improve their research skills. You can borrow up to 4 books for 14 days as an undergraduate student. The library provides access to periodicals, databases, online resources, and research materials. Experienced librarians are available to assist with your information and research needs.

- As exams approach the Learning Resource Center and academic support services increase their hours and availability. The library is open 7 days a week from 8am to 9pm weekdays to support exam preparation. Research materials databases and quiet study spaces are available for your exam prep. The library staff and research coordinators can help you locate specific materials for your courses. Combining structured study time at the library with small study groups and official tutoring support creates an effective exam preparation strategy. Start preparation early rather than cramming at the last minute.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C035;G23_C002;G23_C016,0.0023
Q006,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
Q006,S1,"Here's what I found in UMT resources:

If you are experiencing a mental health crisis or thoughts of self-harm crisis support is available. The Office of Safety Security and Vigilance (OSS&V) can provide immediate support for serious situations. Emergency medical services can be reached at 15 or 1122. In crisis situations immediate professional support is needed not delayed. Do not isolate yourself. Tell someone you trust what you are experiencing. Reaching out is the most important first step when facing a serious mental health emergency.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C011;G23_C001;G23_C012,0.0021
Q006,S2,"Here's what I found from UMT resources:

- If you are experiencing a mental health crisis or thoughts of self-harm crisis support is available. The Office of Safety Security and Vigilance (OSS&V) can provide immediate support for serious situations. Emergency medical services can be reached at 15 or 1122. In crisis situations immediate professional support is needed not delayed. Do not isolate yourself. Tell someone you trust what you are experiencing. Reaching out is the most important first step when facing a serious mental health emergency.

- UMT has a Happiness Center with professional clinical psychologists and counselors who can help with stress, anxiety, depression, adjustment difficulties, and emotional issues. The center provides free services to all UMT students, faculty, and staff. Counselors are experienced in dealing with everyday stressors, interpersonal conflicts, and personal challenges. For appointments, email cc.center@umt.edu.pk (UMT members) or app.hc@umt.edu.pk (outside community). All sessions are completely confidential and supportive.

- The on-campus healthcare clinic offers preventive health services including health screenings and wellness assessments. Regular check-ups can help identify health issues early and maintain overall wellbeing. The healthcare staff can provide guidance on nutrition exercise sleep and stress management. They can also provide information on managing minor health concerns and preventing common student health issues like cold and flu. Preventive care helps you stay healthy and catch problems before they become serious.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C011;G23_C001;G23_C012,0.0025
Q007,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
Q007,S1,"For any support needs at UMT Sialkot, please contact:

- 💙 Happiness Center: **cc.center@umt.edu.pk**
- 📞 City Campus: **+92 52 3241801-7**
- 📧 General: **info@skt.umt.edu.pk**

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0018
Q007,S2,"For any support needs at UMT Sialkot, please contact:

- 💙 Happiness Center: **cc.center@umt.edu.pk**
- 📞 City Campus: **+92 52 3241801-7**
- 📧 General: **info@skt.umt.edu.pk**",,0.0016
Q008,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0007
Q008,S1,"Here's what I found in UMT resources:

The Tarbiyah Department at UMT aims to foster personal growth, productivity, and positive contributions to society through Islamic perspectives and values. The department offers counseling services through the Ask Asiya desk, Tarbiyah ambassadors, and various personal development programs throughout the year. These services help with character building, moral intelligence, and healthy relationships. The Tarbiyah approach combines direct programs on self-development with a campus-wide network of support.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C004;G23_C009;G23_C008,0.0020
Q008,S2,"Here's what I found from UMT resources:

- The Tarbiyah Department at UMT aims to foster personal growth, productivity, and positive contributions to society through Islamic perspectives and values. The department offers counseling services through the Ask Asiya desk, Tarbiyah ambassadors, and various personal development programs throughout the year. These services help with character building, moral intelligence, and healthy relationships. The Tarbiyah approach combines direct programs on self-development with a campus-wide network of support.

- Participation in campus clubs organizations and activities is important for personal growth and building community connections. Being part of student organizations can help reduce stress build friendships and develop leadership skills. UMT has clubs covering academics sports arts culture and spirituality. These activities provide structured time with peers and mentors who can provide informal support and encouragement. Clubs also provide opportunities to develop skills and confidence in a supportive environment.

- The Ask Asiya desk is part of the Tarbiyah Department and provides counseling and guidance rooted in Islamic values. Tarbiyah ambassadors work throughout campus to support personal and moral development. The program aims to create a culture of integrity, responsibility, and compassion. Regular programs address topics like building confidence, managing emotions, developing healthy relationships, and finding purpose. These services complement counseling services and help students develop character and values-based decision making.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C004;G23_C009;G23_C008,0.0025
Q009,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
Q009,S1,"Here's what I found in UMT resources:

Maintaining healthy sleep is crucial during exam season but anxiety often disrupts sleep patterns. Sleep deprivation reduces concentration memory and problem-solving ability making exams harder. During peak stress periods aim for 7-8 hours of sleep even if you feel you don't have time. This sleep improves your study effectiveness more than extra study hours without sleep. Effective strategies include establishing a bedtime routine limiting screen time before bed exercising during the day and avoiding caffeine late in the day. If exam anxiety is severely disrupting your sleep contact the Happiness Center at cc.center@umt.edu.pk or visit the healthcare clinic for guidance.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C018;G23_C019;G23_C015,0.0020
Q009,S2,"I understand you're feeling stressed — that's completely normal, especially around exam time. Here's what can help:

Here's what I found from UMT resources:

- Maintaining healthy sleep is crucial during exam season but anxiety often disrupts sleep patterns. Sleep deprivation reduces concentration memory and problem-solving ability making exams harder. During peak stress periods aim for 7-8 hours of sleep even if you feel you don't have time. This sleep improves your study effectiveness more than extra study hours without sleep. Effective strategies include establishing a bedtime routine limiting screen time before bed exercising during the day and avoiding caffeine late in the day. If exam anxiety is severely disrupting your sleep contact the Happiness Center at cc.center@umt.edu.pk or visit the healthcare clinic for guidance.

- Exam anxiety is common but excessive anxiety can interfere with performance and wellbeing. Physical symptoms include racing heart trembling nausea and difficulty breathing. Mental symptoms include racing thoughts difficulty concentrating and fear of failure. Mild anxiety can improve focus but severe anxiety becomes disruptive. Techniques that help include deep breathing progressive muscle relaxation mindfulness and positive self-talk. The Happiness Center provides counseling specifically for exam anxiety and can teach relaxation techniques. If your exam anxiety feels overwhelming or includes panic attacks reach out immediately at cc.center@umt.edu.pk. Professional support makes a real difference in managing anxiety.

- The Spring 2026 Final Examination period runs from June 29 to July 11 with mid-term exams ending just before. Exam stress is a normal response to academic pressure but when it becomes overwhelming it can affect your performance and wellbeing. Common stress responses during exams include difficulty concentrating anxiety sleep problems and physical tension. The Happiness Center is fully staffed during exam periods to help students manage exam stress and anxiety. Plan your study schedule early use the library resources and reach out for support at cc.center@umt.edu.pk.

Remember, the **Happiness Center** (cc.center@umt.edu.pk) provides free, confidential support anytime you need it. 💙

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C018;G23_C019;G23_C015,0.0024
Q010,S0,"Thank you for reaching out. For support at UMT Sialkot, contact **info@skt.umt.edu.pk** or call **+92 52 3241801**. The **Happiness Center** provides free counseling at cc.center@umt.edu.pk.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0009
Q010,S1,"Here's what I found in UMT resources:

If you are experiencing a mental health crisis or thoughts of self-harm crisis support is available. The Office of Safety Security and Vigilance (OSS&V) can provide immediate support for serious situations. Emergency medical services can be reached at 15 or 1122. In crisis situations immediate professional support is needed not delayed. Do not isolate yourself. Tell someone you trust what you are experiencing. Reaching out is the most important first step when facing a serious mental health emergency.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C011;G23_C123,0.0021
Q010,S2,"🆘 **I'm concerned about your safety and want to make sure you get immediate help.**

**Please contact emergency services right now:**

- 🚨 **Police / Emergency: 15**
- 🚑 **Rescue: 1122**

**On Campus at UMT Sialkot:**

- 🔒 **OSS&V (Safety Office):** Contact immediately on campus
- 💙 **Happiness Center:** cc.center@umt.edu.pk

**You matter. You are not alone. Help is available right now.**

Please reach out to one of these contacts immediately. Your safety is the top priority.",,0.0019
Q011,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0007
Q011,S1,"Here's what I found in UMT resources:

After completing exams many students experience emotional reactions including relief exhaustion anxiety about results or disappointment. These emotions are normal and temporary. Post-exam recovery is important for mental health. Give yourself time to rest and do enjoyable activities after exams. Reconnect with friends and family. Engage in exercise outdoor time or hobbies you enjoy. Avoid dwelling on exam performance or comparing yourself to others. The emotional impact of exams can linger even after they end. If you feel sad anxious or low after exams the Happiness Center remains available for support at cc.center@umt.edu.pk. Recovery is a natural part of the academic cycle.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C020;G23_C017;G23_C035,0.0020
Q011,S2,"💙 I hear you — what you're going through sounds really difficult, and it takes courage to reach out. Support is here for you.

Here's what I found from UMT resources:

- After completing exams many students experience emotional reactions including relief exhaustion anxiety about results or disappointment. These emotions are normal and temporary. Post-exam recovery is important for mental health. Give yourself time to rest and do enjoyable activities after exams. Reconnect with friends and family. Engage in exercise outdoor time or hobbies you enjoy. Avoid dwelling on exam performance or comparing yourself to others. The emotional impact of exams can linger even after they end. If you feel sad anxious or low after exams the Happiness Center remains available for support at cc.center@umt.edu.pk. Recovery is a natural part of the academic cycle.

- The 2025-26 academic calendar shows that this is peak exam season with final exams in June and summer session starting July 27. Planning your study schedule using the calendar is essential to reduce stress and avoid last-minute panic. Break your exam preparation into manageable daily tasks starting weeks in advance. Balance study time with breaks meals sleep and physical activity. Create a realistic schedule that accounts for multiple exams and deadlines. The Happiness Center can help you develop effective time management and study strategies during this critical period. Contact cc.center@umt.edu.pk to discuss exam preparation planning.

- usually based on the number of contact hours per week during a semester. Each three-credit hour course will consist of 45 contact hours in a semester, calculated as 3 hours per week for 15 teaching weeks (3 hours/week * 15 weeks = 45 hours). P art i ci pant s ’ H andbook Page 1

**Please connect with the Happiness Center at cc.center@umt.edu.pk as soon as possible — they are trained professionals who genuinely care and can help you through this.**

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C020;G23_C017;G23_C035,0.0025
Q012,S0,"**Final Exams run June 29 – July 11, 2026.** For exam stress, the **Happiness Center** is available at cc.center@umt.edu.pk. The **Library** is open until 9pm for exam prep.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0009
Q012,S1,"Here's what I found in UMT resources:

After completing exams many students experience emotional reactions including relief exhaustion anxiety about results or disappointment. These emotions are normal and temporary. Post-exam recovery is important for mental health. Give yourself time to rest and do enjoyable activities after exams. Reconnect with friends and family. Engage in exercise outdoor time or hobbies you enjoy. Avoid dwelling on exam performance or comparing yourself to others. The emotional impact of exams can linger even after they end. If you feel sad anxious or low after exams the Happiness Center remains available for support at cc.center@umt.edu.pk. Recovery is a natural part of the academic cycle.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C020;G23_C076;G23_C015,0.0020
Q012,S2,"Here's what I found from UMT resources:

- After completing exams many students experience emotional reactions including relief exhaustion anxiety about results or disappointment. These emotions are normal and temporary. Post-exam recovery is important for mental health. Give yourself time to rest and do enjoyable activities after exams. Reconnect with friends and family. Engage in exercise outdoor time or hobbies you enjoy. Avoid dwelling on exam performance or comparing yourself to others. The emotional impact of exams can linger even after they end. If you feel sad anxious or low after exams the Happiness Center remains available for support at cc.center@umt.edu.pk. Recovery is a natural part of the academic cycle.

- Serious illness/injury of the participant or death in the immediate family is regarded as a legitimate reason for rescheduling a make-up of midterm exams. P art i ci pant s ’ H andbook Page 15

- The Spring 2026 Final Examination period runs from June 29 to July 11 with mid-term exams ending just before. Exam stress is a normal response to academic pressure but when it becomes overwhelming it can affect your performance and wellbeing. Common stress responses during exams include difficulty concentrating anxiety sleep problems and physical tension. The Happiness Center is fully staffed during exam periods to help students manage exam stress and anxiety. Plan your study schedule early use the library resources and reach out for support at cc.center@umt.edu.pk.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C020;G23_C076;G23_C015,0.0025
Q013,S0,"**Final Exams run June 29 – July 11, 2026.** For exam stress, the **Happiness Center** is available at cc.center@umt.edu.pk. The **Library** is open until 9pm for exam prep.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0009
Q013,S1,"Here's what I found in UMT resources:

After completing exams many students experience emotional reactions including relief exhaustion anxiety about results or disappointment. These emotions are normal and temporary. Post-exam recovery is important for mental health. Give yourself time to rest and do enjoyable activities after exams. Reconnect with friends and family. Engage in exercise outdoor time or hobbies you enjoy. Avoid dwelling on exam performance or comparing yourself to others. The emotional impact of exams can linger even after they end. If you feel sad anxious or low after exams the Happiness Center remains available for support at cc.center@umt.edu.pk. Recovery is a natural part of the academic cycle.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C020;G23_C019;G23_C011,0.0021
